dt_in,dt_out,price_in,price_out,size,side,pnl,pnl_comm,barlen,tradeid,atr_entry,symbol,period_label,fast,slow,atr_mult
2025-02-14 14:13:00,2025-02-14 15:02:00,1844.8,1855.65,-260.3353427279469,SELL,-2824.6384685982594,-3017.3100523977855,49,773,1.3190605366958794,INFY,Feb-2025,120,180,0.0
2025-02-17 09:22:00,2025-02-17 10:25:00,1843.0,1838.75,-259.03428959020005,SELL,1100.8957307583503,910.1558316186065,63,774,3.7304076038269467,INFY,Feb-2025,120,180,0.0
2025-02-17 11:54:00,2025-02-17 12:55:00,1838.4,1839.5,-260.1527653148261,SELL,-286.16804184628506,-477.5312129565649,61,775,1.4999006522189748,INFY,Feb-2025,120,180,0.0
2025-02-17 13:43:00,2025-02-17 14:16:00,1839.5,1836.3,-259.7505784737525,SELL,831.2018511160198,640.2436158452559,33,776,1.7885599772902863,INFY,Feb-2025,120,180,0.0
2025-02-17 14:41:00,2025-02-17 14:46:00,1838.0,1839.7,-260.29348233815057,SELL,-442.4989199748678,-633.955187973871,5,777,1.496289473552139,INFY,Feb-2025,120,180,0.0
2025-02-18 10:27:00,2025-02-18 11:52:00,1851.9,1841.85,-258.01455970027837,SELL,2593.0463249878444,2402.438069009264,85,778,1.9109545673698398,INFY,Feb-2025,120,180,0.0
2025-02-18 13:33:00,2025-02-18 14:34:00,1844.9,1846.15,-260.2306245728789,SELL,-325.28828071609865,-517.3931300820436,61,779,1.1035473556974575,INFY,Feb-2025,120,180,0.0
2025-02-19 09:22:00,2025-02-19 10:20:00,1833.9,1837.45,-261.52350498987215,SELL,-928.4084427140342,-1120.4373067229476,58,780,2.7092883716831775,INFY,Feb-2025,120,180,0.0
2025-02-19 11:15:00,2025-02-19 12:05:00,1832.75,1833.85,-261.10682873252745,SELL,-287.21751160575644,-478.6923712518935,50,781,1.3324820529448231,INFY,Feb-2025,120,180,0.0
2025-02-19 12:56:00,2025-02-19 14:13:00,1828.5,1817.75,-261.4650164653269,SELL,2810.7489270022643,2620.0755637449247,77,782,0.9959464166830501,INFY,Feb-2025,120,180,0.0
2025-02-19 14:50:00,2025-02-19 15:11:00,1808.15,1810.9,-265.78428470669354,SELL,-730.9067829434073,-923.2841060569592,21,783,1.573104630163982,INFY,Feb-2025,120,180,0.0
2025-02-20 10:31:00,2025-02-20 12:13:00,1830.35,1822.4,-262.0814240400218,SELL,2083.5473211181256,1892.0837367856877,102,784,1.5648279699333205,INFY,Feb-2025,120,180,0.0
2025-02-20 13:10:00,2025-02-20 13:58:00,1819.9,1819.2,-264.57399529732413,SELL,185.20179670813891,-7.360448549159543,48,785,1.2596776230411673,INFY,Feb-2025,120,180,0.0
2025-02-20 14:10:00,2025-02-20 14:49:00,1816.75,1821.35,-265.02888213319306,SELL,-1219.132857812664,-1411.973173030418,39,786,1.3579725153193014,INFY,Feb-2025,120,180,0.0
2025-02-21 09:29:00,2025-02-21 10:15:00,1812.4,1824.0,-264.92487701451086,SELL,-3073.1285733683017,-3265.8031379234153,46,787,2.1550628679346473,INFY,Feb-2025,120,180,0.0
2025-02-21 11:08:00,2025-02-21 13:14:00,1823.5,1810.3,-261.61082211136403,SELL,3453.262851870017,3263.134570792362,126,788,1.4666766926329882,INFY,Feb-2025,120,180,0.0
2025-02-24 09:21:00,2025-02-24 10:39:00,1795.9,1778.25,-267.35748758969044,SELL,4718.85965595806,4527.744503104322,78,789,3.2617983402174984,INFY,Feb-2025,120,180,0.0
2025-02-24 12:16:00,2025-02-24 13:18:00,1764.0,1755.55,-274.6307648754389,SELL,2320.629963197471,2127.314621494001,62,790,1.493522992215253,INFY,Feb-2025,120,180,0.0
2025-02-25 09:30:00,2025-02-25 10:07:00,1764.35,1775.05,-275.72172082109194,SELL,-2950.222412785696,-3145.400304520531,37,791,3.2774121794650677,INFY,Feb-2025,120,180,0.0
2025-02-25 10:50:00,2025-02-25 12:04:00,1771.25,1768.25,-272.96061416592744,SELL,818.8818424977824,625.6530237297223,74,792,1.6497197304476336,INFY,Feb-2025,120,180,0.0
2025-02-25 12:39:00,2025-02-25 13:03:00,1760.3,1766.9,-274.9962269010636,SELL,-1814.9750975470574,-2008.9684358521438,24,793,1.1933294517300916,INFY,Feb-2025,120,180,0.0
2025-02-25 14:05:00,2025-02-25 15:01:00,1765.3,1767.65,-273.1362024584392,SELL,-641.8700757773694,-834.8653850724779,56,794,1.3470042202066843,INFY,Feb-2025,120,180,0.0
2025-02-27 09:18:00,2025-02-27 09:59:00,1767.8,1772.6,-272.30128752351163,SELL,-1307.0461801128436,-1499.8572757824918,41,795,3.4537164617130953,INFY,Feb-2025,120,180,0.0
2025-02-27 10:32:00,2025-02-27 11:20:00,1760.1,1767.45,-272.6830019158403,SELL,-2004.2200640814633,-2196.600648763108,48,796,1.1148209994798597,INFY,Feb-2025,120,180,0.0
2025-02-27 12:22:00,2025-02-27 13:58:00,1770.0,1760.6,-269.97885935352855,SELL,2537.801277923193,2347.1638057564796,96,797,0.4761749835678101,INFY,Feb-2025,120,180,0.0
2025-03-03 10:14:00,2025-03-03 11:05:00,1701.65,1712.95,-279.14083389651216,SELL,-3154.2914230305746,-3344.9222813151805,51,798,2.650492509926146,INFY,Mar-2025,120,180,0.0
2025-03-03 11:55:00,2025-03-03 13:31:00,1717.35,1712.95,-274.7385936662595,SELL,1208.8498121315042,1020.3626525608303,96,799,1.374613519010084,INFY,Mar-2025,120,180,0.0
2025-03-03 14:07:00,2025-03-03 15:08:00,1707.4,1709.4,-276.90738453360865,SELL,-553.8147690672173,-743.0421993621042,61,800,1.3715927035006734,INFY,Mar-2025,120,180,0.0
2025-03-04 09:22:00,2025-03-04 10:17:00,1675.55,1685.7,-281.7497408393002,SELL,-2859.7598695189226,-3049.1661327981424,55,801,4.2590441254826015,INFY,Mar-2025,120,180,0.0
2025-03-04 12:32:00,2025-03-04 14:02:00,1692.15,1685.4,-277.2739239648561,SELL,1871.5989867627788,1684.297678385279,90,802,1.515625136474038,INFY,Mar-2025,120,180,0.0
2025-03-04 15:25:00,2025-03-05 09:22:00,1685.4,1700.15,-279.33378024895995,SELL,-4120.173258672159,-4309.312954616533,12,803,1.4488547631620803,INFY,Mar-2025,120,180,0.0
2025-03-05 10:20:00,2025-03-05 11:26:00,1704.6,1711.25,-273.7858183296442,SELL,-1820.6756918921587,-2007.7179494004217,66,804,1.9974369707124662,INFY,Mar-2025,120,180,0.0
2025-03-05 13:00:00,2025-03-05 14:43:00,1727.85,1713.05,-268.9978724268781,SELL,3981.1685119177832,3796.049556071054,103,805,2.0640957377447253,INFY,Mar-2025,120,180,0.0
2025-03-06 09:26:00,2025-03-06 10:17:00,1696.05,1705.2,-276.16769608858743,SELL,-2526.9344192106,-2714.7974944748617,51,806,3.397286934071854,INFY,Mar-2025,120,180,0.0
2025-03-06 11:39:00,2025-03-06 12:33:00,1703.85,1709.6,-273.3897721814113,SELL,-1571.9911900431148,-1758.6316536136424,54,807,1.6123146399718251,INFY,Mar-2025,120,180,0.0
2025-03-06 13:39:00,2025-03-06 14:46:00,1711.7,1716.85,-271.1599364727257,SELL,-1396.4736728345003,-1582.4107528732131,67,808,1.6743360998732602,INFY,Mar-2025,120,180,0.0
2025-03-07 09:18:00,2025-03-07 10:20:00,1692.2,1697.65,-273.3962729258569,SELL,-1490.0096874459327,-1675.364158601476,62,809,3.7946552390029704,INFY,Mar-2025,120,180,0.0
2025-03-07 11:07:00,2025-03-07 11:27:00,1682.55,1685.5,-274.01835136813975,SELL,-808.3541365360247,-992.9356382011174,20,810,1.2740381678066866,INFY,Mar-2025,120,180,0.0
2025-03-07 12:17:00,2025-03-07 12:40:00,1677.3,1682.3,-274.3136518441379,SELL,-1371.5682592206895,-1555.8850881678027,23,811,1.2601881823122267,INFY,Mar-2025,120,180,0.0
2025-03-07 13:52:00,2025-03-07 14:46:00,1680.3,1685.05,-272.94423460359053,SELL,-1296.485114367055,-1480.1956903516939,54,812,0.9340218825461362,INFY,Mar-2025,120,180,0.0
2025-03-10 09:27:00,2025-03-10 09:35:00,1688.0,1694.0,-270.86612055603024,SELL,-1625.1967233361815,-1808.4105672802805,8,813,2.940846736903458,INFY,Mar-2025,120,180,0.0
2025-03-10 10:49:00,2025-03-10 11:24:00,1713.5,1714.1,-265.83251908938587,SELL,-159.49951145360734,-341.73301993976315,35,814,1.71069534393216,INFY,Mar-2025,120,180,0.0
2025-03-10 11:26:00,2025-03-10 12:53:00,1712.4,1711.15,-265.8136972031768,SELL,332.267121503971,150.2618248919838,87,815,1.6444928059419461,INFY,Mar-2025,120,180,0.0
2025-03-10 12:57:00,2025-03-10 15:08:00,1712.0,1699.75,-265.9591844768501,SELL,3258.000009841414,3076.522760313635,131,816,1.2746566486900124,INFY,Mar-2025,120,180,0.0
2025-03-11 09:21:00,2025-03-11 10:24:00,1659.1,1646.55,-276.2008441002142,SELL,3466.320593457676,3283.715929397701,63,817,5.716737762522406,INFY,Mar-2025,120,180,0.0
2025-03-11 12:18:00,2025-03-11 13:28:00,1652.7,1657.45,-279.1579540022951,SELL,-1326.000281510902,-1510.8112217990413,70,818,1.2415523721243995,INFY,Mar-2025,120,180,0.0
2025-03-11 15:15:00,2025-03-12 10:30:00,1660.3,1581.5,-277.01564772564234,SELL,21828.833040780602,21649.227175421205,90,819,1.5332631071348808,INFY,Mar-2025,120,180,0.0
2025-03-12 12:55:00,2025-03-12 12:57:00,1568.75,1570.8,-306.2921725804202,SELL,-627.8989537898475,-820.2228718748191,2,820,1.1408592525775687,INFY,Mar-2025,120,180,0.0
2025-03-12 15:25:00,2025-03-13 12:03:00,1588.3,1576.25,-302.03150161005675,SELL,3639.4795944011703,3448.320836717149,173,821,1.7296025097766208,INFY,Mar-2025,120,180,0.0
2025-03-13 14:20:00,2025-03-17 10:04:00,1581.75,1586.85,-305.35327251596925,SELL,-1557.3016898314154,-1750.8101656902354,119,822,1.3187612282006964,INFY,Mar-2025,120,180,0.0
2025-03-17 11:12:00,2025-03-17 12:07:00,1578.9,1591.8,-304.8510159888078,SELL,-3932.578106255579,-4125.896329534721,55,823,1.468071398495948,INFY,Mar-2025,120,180,0.0
2025-03-17 12:43:00,2025-03-17 13:41:00,1582.0,1585.8,-301.7760225231799,SELL,-1146.74888558807,-1337.9421024178557,58,824,1.3933692849253498,INFY,Mar-2025,120,180,0.0
2025-03-17 14:54:00,2025-03-18 09:33:00,1589.15,1598.5,-299.61842660187745,SELL,-2801.432288727527,-2992.448024239022,54,825,1.022308077780309,INFY,Mar-2025,120,180,0.0
2025-03-18 10:58:00,2025-03-18 13:35:00,1606.05,1597.6,-294.69555556262037,SELL,2490.1774445041556,2301.3571611885177,157,826,1.2570680158695287,INFY,Mar-2025,120,180,0.0
2025-03-19 09:24:00,2025-03-19 10:26:00,1580.0,1583.1,-300.9380293129592,SELL,-932.9078908701462,-1123.2873069741104,62,827,3.0144221192050655,INFY,Mar-2025,120,180,0.0
2025-03-19 11:54:00,2025-03-19 12:24:00,1575.6,1579.1,-301.1011445626111,SELL,-1053.854005969139,-1243.8307621194729,30,828,0.5421464697972112,INFY,Mar-2025,120,180,0.0
2025-03-19 14:02:00,2025-03-19 14:41:00,1582.45,1586.2,-299.0510437289245,SELL,-1121.4414139834669,-1310.9590319257982,39,829,0.9253288538249173,INFY,Mar-2025,120,180,0.0
2025-03-19 15:14:00,2025-03-20 09:19:00,1586.8,1603.25,-297.44637828869867,SELL,-4892.992922849106,-5082.766686661079,20,830,0.9621751725623223,INFY,Mar-2025,120,180,0.0
2025-03-20 10:16:00,2025-03-20 11:34:00,1609.1,1609.55,-290.3233389572922,SELL,-130.6455025307947,-317.5353455177724,78,831,2.239144202830978,INFY,Mar-2025,120,180,0.0
2025-03-20 13:52:00,2025-03-20 15:04:00,1616.55,1618.15,-288.79875422222455,SELL,-462.07800675559866,-648.9134728121246,72,832,1.0912135254119328,INFY,Mar-2025,120,180,0.0
2025-03-20 15:14:00,2025-03-21 10:09:00,1617.15,1598.45,-288.31039689501006,SELL,5391.4044219367015,5205.986239485583,70,833,1.2942833673320588,INFY,Mar-2025,120,180,0.0
2025-03-21 11:27:00,2025-03-21 12:13:00,1590.7,1592.0,-296.2135193727773,SELL,-385.077575184597,-573.6293288061446,46,834,1.219203807488007,INFY,Mar-2025,120,180,0.0
2025-03-21 13:25:00,2025-03-21 14:30:00,1595.5,1596.45,-294.9808194320971,SELL,-280.23177846050567,-468.54458377776217,65,835,1.1765173602771868,INFY,Mar-2025,120,180,0.0
2025-03-21 15:20:00,2025-03-24 10:33:00,1591.9,1578.7,-295.36828949640176,SELL,3898.8614213525166,3711.5624816170584,88,836,1.1501272897342072,INFY,Mar-2025,120,180,0.0
2025-03-24 12:01:00,2025-03-24 13:14:00,1584.45,1590.0,-298.982463572128,SELL,-1659.3526728252966,-1849.173649122605,73,837,1.0279222735801814,INFY,Mar-2025,120,180,0.0
2025-03-24 14:33:00,2025-03-25 09:23:00,1594.35,1620.25,-296.02411605995655,SELL,-7667.024605952902,-7857.344430650169,65,838,2.4356670035626156,INFY,Mar-2025,120,180,0.0
2025-03-25 10:29:00,2025-03-25 11:52:00,1631.65,1618.75,-284.68211456566917,SELL,3672.3992778971583,3487.333128860308,83,839,2.1533671645269017,INFY,Mar-2025,120,180,0.0
2025-03-25 13:25:00,2025-03-25 14:21:00,1627.3,1633.35,-287.4789766505816,SELL,-1739.2478087360057,-1926.7214737791496,56,840,1.441298396211809,INFY,Mar-2025,120,180,0.0
2025-03-25 15:00:00,2025-03-26 11:00:00,1633.2,1620.15,-285.31971179488204,SELL,3723.4222389231977,3537.7732620496217,135,841,1.902406911056852,INFY,Mar-2025,120,180,0.0
2025-03-26 12:16:00,2025-03-26 14:14:00,1613.65,1606.55,-290.8592556640835,SELL,2065.1007152150323,1877.775720197136,118,842,1.193577723565365,INFY,Mar-2025,120,180,0.0
2025-03-26 15:15:00,2025-03-27 09:41:00,1601.05,1601.0,-294.26246827802737,SELL,14.713123413887987,-173.73550389604353,41,843,1.6472094915114777,INFY,Mar-2025,120,180,0.0
2025-03-27 10:58:00,2025-03-27 12:38:00,1615.0,1598.2,-291.618499137978,SELL,4899.190785518017,4711.785073231987,100,844,1.2862259478124223,INFY,Mar-2025,120,180,0.0
2025-03-27 15:24:00,2025-03-28 10:29:00,1601.7,1575.1,-296.8346581303645,SELL,7895.801906267737,7707.205037878029,80,845,2.0234970556049885,INFY,Mar-2025,120,180,0.0
2025-03-28 12:06:00,2025-03-28 14:23:00,1584.05,1573.55,-304.76431723328744,SELL,3200.0253309495183,3007.560569330353,137,846,0.5086283106009684,INFY,Mar-2025,120,180,0.0
2025-04-01 10:24:00,2025-04-01 13:03:00,1528.55,1527.5,310.75201988812927,BUY,-326.2896208825216,-516.2243629583451,159,847,1.7349889580443338,INFY,Apr-2025,120,180,0.0
2025-04-01 14:32:00,2025-04-02 10:12:00,1521.85,1543.45,311.7978689458157,BUY,6734.833969229662,6543.68316769374,115,848,1.3135158031690617,INFY,Apr-2025,120,180,0.0
2025-04-02 11:40:00,2025-04-02 12:54:00,1550.45,1549.1,310.0558456348148,BUY,-418.57539160704226,-610.7821108745203,74,849,1.332126053386832,INFY,Apr-2025,120,180,0.0
2025-04-02 14:41:00,2025-04-03 09:19:00,1549.75,1514.3,309.82148272893545,BUY,-10983.171562740776,-11173.033265571894,53,850,1.0517781270188329,INFY,Apr-2025,120,180,0.0
2025-04-03 10:25:00,2025-04-03 11:42:00,1507.75,1497.0,311.41201210868815,BUY,-3347.6791301683975,-3534.8221788451137,77,851,1.5977889160477443,INFY,Apr-2025,120,180,0.0
2025-04-03 12:13:00,2025-04-03 12:52:00,1497.1,1487.0,311.38426303317857,BUY,-3144.981056635075,-3330.821412498537,39,852,0.7777366281233481,INFY,Apr-2025,120,180,0.0
2025-04-03 13:34:00,2025-04-03 14:53:00,1494.45,1497.05,309.81906376599954,BUY,805.5295657915707,620.1648199403731,79,853,1.0225941132107994,INFY,Apr-2025,120,180,0.0
2025-04-04 10:25:00,2025-04-04 12:48:00,1455.25,1459.9,318.56949419277885,BUY,1481.3481479964505,1295.6125757972345,143,854,1.422790914737025,INFY,Apr-2025,120,180,0.0
2025-04-04 15:11:00,2025-04-07 09:18:00,1452.55,1312.3,320.00901061653565,BUY,-44881.26373896912,-45058.219121569746,22,855,1.1141850350200682,INFY,Apr-2025,120,180,0.0
2025-04-07 10:16:00,2025-04-07 11:56:00,1375.15,1380.05,306.89290637789145,BUY,1503.7752412516263,1334.664974121153,100,856,2.7907853060295214,INFY,Apr-2025,120,180,0.0
2025-04-07 13:26:00,2025-04-08 10:13:00,1369.9,1424.5,308.9946068552249,BUY,16871.105534295253,16698.414628416005,182,857,0.8244758688061543,INFY,Apr-2025,120,180,0.0
2025-04-08 11:20:00,2025-04-08 13:14:00,1431.15,1451.8,306.8547712175298,BUY,6336.551025641948,6159.621633105633,114,858,2.540868360775804,INFY,Apr-2025,120,180,0.0
