"id","symbol","frequency","candle_time","open","high","low","close","volume","oi","active"
270669,AXISBANK,1,"2025-07-03 12:02:00",1173.30,1173.60,1173.00,1173.20,4611.00,0.00,1
270670,AXISBANK,1,"2025-07-03 12:03:00",1173.30,1173.70,1173.00,1173.50,3152.00,0.00,1
270671,AXISBANK,1,"2025-07-03 12:04:00",1173.40,1173.60,1173.00,1173.50,3482.00,0.00,1
270672,AXISBANK,1,"2025-07-03 12:05:00",1173.50,1173.50,1173.00,1173.00,3736.00,0.00,1
270673,AXISBANK,1,"2025-07-03 12:06:00",1173.00,1174.40,1172.60,1174.10,78831.00,0.00,1
270674,AXISBANK,1,"2025-07-03 12:07:00",1174.10,1174.30,1173.70,1173.70,8033.00,0.00,1
270675,AXISBANK,1,"2025-07-03 12:08:00",1174.20,1174.80,1173.30,1174.60,12328.00,0.00,1
270676,AXISBANK,1,"2025-07-03 12:09:00",1174.70,1174.70,1174.00,1174.10,5503.00,0.00,1
270677,AXISBANK,1,"2025-07-03 12:10:00",1174.10,1174.50,1174.00,1174.40,5407.00,0.00,1
270678,AXISBANK,1,"2025-07-03 12:11:00",1174.30,1174.50,1174.00,1174.30,3945.00,0.00,1
270679,AXISBANK,1,"2025-07-03 12:12:00",1174.50,1174.50,1174.00,1174.30,4514.00,0.00,1
270680,AXISBANK,1,"2025-07-03 12:13:00",1174.40,1175.00,1174.40,1174.60,6569.00,0.00,1
270681,AXISBANK,1,"2025-07-03 12:14:00",1175.00,1175.40,1174.60,1175.20,7429.00,0.00,1
270682,AXISBANK,1,"2025-07-03 12:15:00",1175.20,1175.30,1174.50,1175.10,5359.00,0.00,1
270683,AXISBANK,1,"2025-07-03 12:16:00",1175.10,1175.10,1174.50,1174.90,4175.00,0.00,1
270684,AXISBANK,1,"2025-07-03 12:17:00",1174.90,1175.20,1174.50,1175.20,6063.00,0.00,1
270685,AXISBANK,1,"2025-07-03 12:18:00",1175.10,1175.40,1174.40,1175.00,7514.00,0.00,1
270686,AXISBANK,1,"2025-07-03 12:19:00",1175.00,1175.00,1174.00,1174.50,10379.00,0.00,1
270687,AXISBANK,1,"2025-07-03 12:20:00",1174.00,1174.70,1174.00,1174.40,5884.00,0.00,1
270688,AXISBANK,1,"2025-07-03 12:21:00",1174.40,1174.80,1174.10,1174.50,4822.00,0.00,1
270689,AXISBANK,1,"2025-07-03 12:22:00",1174.50,1174.90,1174.00,1174.80,3892.00,0.00,1
270690,AXISBANK,1,"2025-07-03 12:23:00",1174.80,1175.00,1174.30,1175.00,3529.00,0.00,1
270691,AXISBANK,1,"2025-07-03 12:24:00",1174.60,1175.30,1174.60,1175.30,4274.00,0.00,1
270692,AXISBANK,1,"2025-07-03 12:25:00",1175.30,1175.40,1174.70,1175.00,6793.00,0.00,1
270693,AXISBANK,1,"2025-07-03 12:26:00",1174.90,1175.20,1174.40,1175.20,23458.00,0.00,1
270694,AXISBANK,1,"2025-07-03 12:27:00",1175.00,1175.10,1174.50,1174.60,4947.00,0.00,1
270695,AXISBANK,1,"2025-07-03 12:28:00",1174.60,1175.50,1174.60,1175.40,7233.00,0.00,1
270696,AXISBANK,1,"2025-07-03 12:29:00",1175.40,1175.50,1174.90,1175.00,7401.00,0.00,1
270697,AXISBANK,1,"2025-07-03 12:30:00",1175.00,1175.30,1174.60,1175.00,5853.00,0.00,1
270698,AXISBANK,1,"2025-07-03 12:31:00",1175.00,1175.50,1174.50,1175.50,8347.00,0.00,1
270699,AXISBANK,1,"2025-07-03 12:32:00",1175.50,1175.80,1174.90,1175.60,29575.00,0.00,1
270700,AXISBANK,1,"2025-07-03 12:33:00",1175.60,1175.90,1175.10,1175.40,3809.00,0.00,1
270701,AXISBANK,1,"2025-07-03 12:34:00",1175.40,1176.00,1175.30,1175.60,3805.00,0.00,1
270702,AXISBANK,1,"2025-07-03 12:35:00",1175.60,1175.60,1175.20,1175.30,4211.00,0.00,1
270703,AXISBANK,1,"2025-07-03 12:36:00",1175.30,1175.50,1175.00,1175.10,3323.00,0.00,1
270704,AXISBANK,1,"2025-07-03 12:37:00",1175.10,1175.40,1175.00,1175.00,3793.00,0.00,1
270705,AXISBANK,1,"2025-07-03 12:38:00",1175.40,1175.40,1175.00,1175.10,3065.00,0.00,1
270706,AXISBANK,1,"2025-07-03 12:39:00",1175.00,1175.40,1175.00,1175.40,4451.00,0.00,1
270707,AXISBANK,1,"2025-07-03 12:40:00",1175.40,1176.00,1175.00,1176.00,7485.00,0.00,1
270708,AXISBANK,1,"2025-07-03 12:41:00",1175.50,1176.50,1175.50,1176.30,25062.00,0.00,1
270709,AXISBANK,1,"2025-07-03 12:42:00",1176.30,1176.30,1175.50,1175.50,5041.00,0.00,1
270710,AXISBANK,1,"2025-07-03 12:43:00",1175.50,1175.80,1175.10,1175.10,5110.00,0.00,1
270711,AXISBANK,1,"2025-07-03 12:44:00",1175.00,1175.20,1175.00,1175.00,4261.00,0.00,1
270712,AXISBANK,1,"2025-07-03 12:45:00",1175.00,1175.20,1175.00,1175.10,3444.00,0.00,1
270713,AXISBANK,1,"2025-07-03 12:46:00",1175.10,1175.20,1175.00,1175.20,4486.00,0.00,1
270714,AXISBANK,1,"2025-07-03 12:47:00",1175.20,1175.40,1175.00,1175.40,3887.00,0.00,1
270715,AXISBANK,1,"2025-07-03 12:48:00",1175.30,1175.30,1175.00,1175.20,12852.00,0.00,1
270716,AXISBANK,1,"2025-07-03 12:49:00",1175.00,1175.40,1175.00,1175.30,7088.00,0.00,1
270717,AXISBANK,1,"2025-07-03 12:50:00",1175.00,1175.50,1175.00,1175.00,12256.00,0.00,1
270718,AXISBANK,1,"2025-07-03 12:51:00",1175.20,1175.40,1175.00,1175.00,4398.00,0.00,1
270719,AXISBANK,1,"2025-07-03 12:52:00",1175.00,1175.20,1175.00,1175.00,4683.00,0.00,1
